"index","detaileddesignstatus","fiberpullfootage","ponlocationapproved","residentialhhp","strandfootage","constructionpackagestatus","project","permitsapproved","borefootage","asbuiltscomplete","specialprojectsmduhoaother","businesshhp","totalhhp","detaileddesignstartdate","ponsize","projectedborefootage","odc","ponlocationdesigned","detaileddesigncompletiondate","preliminarycxpsenttoconstruction","asbuiltsreceivedfromconstruction","phase","estimatedaerialpercent","estimatedugpercent","estimatedpathfootage","dateconstructionpassedtooperations","poncabinetsetdate","actualactivationdate","constructionstartdate","borefootagecompleted","remainingstrand","targetconstructioncompletedate","actualconstructioncompletedate","asbuiltssenttoengineering","constructionpercentagecompleted","dateopsapprovedforactivation","strandcompleted","targetactivationdate","borefootageremaining","odccabinetready","numpermits","permitapprovalstatus","permitapproveddate","permitsubmitdate","packagestatus","package","hiearchy","packagepercentcomplete","ring","feeder","packagehomesearned","rolluphomesearned","downstreamhomes"
120,Complete,1234.0,"8/20/21","66.0",0,Sent To Construction,Medina Fiber,YES,4611,"2022-11-17","","2.0","68.0","2021-08-16","144.0","6898.0",MEA01,"6/18/21","2021-08-19","2021-10-01","2022-10-28","3",0.0,1.0,6898,"2022-10-27","","2022-10-28","2022-08-05",4268,0,"2022-10-04","2022-10-27","2022-10-28","1.0","2022-10-28",0,"2022-10-27","343.0",YES,1,Permits Approved,"2021-10-25","2021-10-08",LIT,MC13,F3,1.0,MEA Ring,MEA01-5,34,34,68
121,Complete,1904.0,"8/20/21","102.0",0,Sent to Construction,Medina Fiber,"",6628,"",HOA,"0.0","102.0","2021-06-30","144.0","4080.0",MEA01,"6/18/21","2021-07-01","2021-07-20","","3",0.0,1.0,4080,"2022-10-17","","2022-10-19","2022-08-23",3956,0,"2022-09-14","2022-10-05","","1.0","2022-10-19",0,"2022-10-27","2672.0",YES,2,Not Submitted,,,LIT,MC24,F3,1.0,MEA Ring,MEA01-5,51,51,102
122,Complete,1394.0,"8/20/21","95.0",0,Sent to Construction,Medina Fiber,YES,6688,"",HOA,"0.0","95.0","2021-07-01","144.0","3911.0",MEA01,"6/18/21","2021-07-06","2021-07-21","2022-09-27","3",0.0,1.0,3911,"2022-09-27","","2022-10-19","2022-04-04",8410,0,"2022-09-14","2022-09-27","2022-09-27","1.0","2022-10-19",0,"2022-10-27",-1722.0,YES,2,Permits Approved,"2021-11-22","2021-10-28",LIT,MC25,F3,1.0,MEA Ring,MEA01-5,48,48,95
123,"",16962.0,"","0.0",0,Sent To Construction,Medina Fiber,"",17331,"","","0.0","0.0","","","",MEA02,"","","2022-05-19","","3",0.0,0.0,0,"2022-10-17","2022-10-10","2022-10-31","2022-07-21",22873,0,"2022-09-14","2022-10-17","","1.0","2022-10-31",0,"2022-09-28",-5542.0,YES,6,Permits Submitted,,"2022-10-20",LIT,MEA02-1,F2,1.0,MEA Ring,MEA02-1,379,920,1083
389,"",0.0,"","",0,"",Medina Fiber,"",0,"","","","64.0","","","",HIB04,"","","","","6",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,BN14C,F3,0.0,HIA HIB Ring,HIB04-1,0,0,64
124,Complete,1153.0,"8/20/21","100.0",0,Sent To Construction,Medina Fiber,YES,4912,"","","3.0","103.0","2021-08-23","144.0","",MEA02,"6/18/21","2021-09-15","2022-06-15","","3",0.0,0.0,0,"2022-09-15","","2022-09-16","2022-08-15",4366,0,"2022-09-14","2022-09-15","","1.0","2022-09-16",0,"2022-09-28","546.0",YES,1,Permits Approved,"2021-10-29","2021-10-20",LIT,MC36,F3,1.0,MEA Ring,MEA02-1,52,52,103
125,Complete,1727.0,"8/20/21","105.0",0,Sent To Construction,Medina Fiber,YES,9586,"","","0.0","105.0","2021-07-12","144.0","6762.0",MEA02,"6/18/21","2021-07-15","2022-06-13","2022-12-06","3",0.0,1.0,6762,"2022-11-21","","2022-11-25","2022-10-11",9808,0,"2022-11-01","2022-11-21","2022-12-06","1.0","2022-11-25",0,"2022-11-15",-222.0,YES,1,Permits Approved,"2021-08-30","2021-08-13",LIT,MC37,F3,1.0,MEA Ring,MEA02-1,52,52,105
126,Complete,4545.0,"8/20/21","169.0",0,Sent to Construction,Medina Fiber,YES,11835,"","","0.0","169.0","2021-07-08","288.0","9815.0",MEA02,"6/18/21","2021-07-13","2021-08-04","","3",0.0,1.0,9815,"2022-11-09","","2022-11-10","2022-09-01",9900,0,"2022-10-28","2022-11-09","","1.0","2022-11-10",0,"2022-11-11","1935.0",YES,1,Permits Approved,"2021-08-10","2021-08-04",LIT,MC42,F3,1.0,MEA Ring,MEA02-1,84,84,169
127,Complete,3034.0,"8/20/21","134.0",0,Sent To Construction,Medina Fiber,YES,9293,"","","2.0","136.0","2021-08-23","288.0","8263.0",MEA02,"6/18/21","2021-08-25","2021-10-05","","3",0.0,1.0,8263,"2022-11-15","","2022-11-17","2022-08-30",7612,0,"2022-11-08","2022-11-15","","1.0","2022-11-17",0,"2022-11-22","1681.0",YES,1,Permits Approved,"2021-12-06","2021-10-06",LIT,MC41,F3,1.0,MEA Ring,MEA02-1,68,68,136
128,Complete,3715.0,"8/20/21","200.0",0,Sent To Construction,Medina Fiber,"",9979,"","","106.0","306.0","2021-08-23","288.0","8299.0",MEA02,"6/18/21","2021-09-07","2021-10-12","","3",0.0,1.0,8299,"2022-10-17","","2022-10-31","2022-08-08",9092,0,"2022-09-29","2022-10-11","","1.0","2022-10-31",0,"2022-10-13","887.0",YES,1,Permits Submitted,,"2022-10-20",LIT,MC43,F3,1.0,MEA Ring,MEA02-1,153,153,306
129,Complete,4291.0,"8/20/21","264.0",0,Sent to Construction,Medina Fiber,YES,20820,"","","0.0","264.0","2021-06-21","432.0","13383.0",MEA02,"6/18/21","2021-06-24","2021-07-15","","3",0.0,1.0,13383,"2022-10-17","","2022-10-31","2022-07-28",19541,0,"2022-09-28","2022-10-17","","1.0","2022-10-31",0,"2022-10-18","1279.0",YES,1,Permits Approved,"2021-07-20","2021-07-16",LIT,ME07,F3,1.0,MEA Ring,MEA02-1,132,132,264
130,"",1392.0,"","0.0",0,Sent To Construction,Medina Fiber,"",58,"","","0.0","0.0","","","",MEA02,"","","2022-05-20","","3",0.0,0.0,0,"2022-09-07","","2022-09-09","",0,0,"2022-09-07","2022-09-07","","1.0","2022-09-09",0,"2022-09-21","58.0",YES,1,Permits Approved,,"2021-10-20",LIT,MEA02-2,F2,1.0,MEA Ring,MEA02-2,73,177,208
131,Complete,2093.0,"8/20/21","203.0",0,Sent To Construction,Medina Fiber,YES,9054,"",MDU,"5.0","208.0","2021-08-16","288.0","11007.0",MEA02,"6/18/21","2021-09-15","2022-06-13","2022-12-06","3",0.0,1.0,11007,"2022-11-02","","2022-11-03","2022-07-28",7244,0,"2022-10-21","2022-11-02","2022-12-06","1.0","2022-11-03",0,"2022-11-04","1810.0",YES,1,Permits Approved,"2021-10-29","2021-10-20",LIT,MC05,F3,1.0,MEA Ring,MEA02-2,104,104,208
132,"",10754.0,"","0.0",0,Sent To Construction,Medina Fiber,"",10235,"","","0.0","0.0","","","",MEA02,"","","2022-05-25","","3",0.0,0.0,0,"2022-11-30","2022-11-22","2022-11-30","2022-07-29",13735,0,"2022-11-15","2022-11-30","","1.0","2022-11-30",0,"2022-11-29",-3500.0,YES,11,Not Submitted,,"2022-10-20",LIT,MEA02-3,F2,1.0,MEA Ring,MEA02-3,548,1098,1566
133,Complete,828.0,"8/20/21","75.0",0,Sent To Construction,Medina Fiber,YES,6442,"","","1.0","76.0","2021-08-23","96.0","4510.0",MEA02,"6/18/21","2021-08-30","2021-10-07","2022-12-06","3",0.0,1.0,4510,"2022-11-30","","2022-11-30","2022-11-09",5728,0,"2022-11-15","2022-11-30","2022-12-06","1.0","2022-11-30",0,"2022-11-29","714.0",YES,1,Permits Approved,"2022-10-31","2022-10-20",LIT,MC32,F3,1.0,MEA Ring,MEA02-3,38,38,76
134,On Hold,107.0,"8/20/21","51.0",0,Sent To Construction,Medina Fiber,"",852,"","MDU, HOA","0.0","51.0","","288.0","",MEA02,"6/18/21","","2022-05-25","","3",0.0,0.0,0,"","","","2022-11-09",0,0,"2022-11-15","","","","",0,"2022-11-29","852.0",YES,1,Permits Submitted,,"2022-01-26",Active Construction,MC32.1,F3,0.0,MEA Ring,MEA02-3,0,0,51
135,On Hold,578.0,"8/20/21","53.0",0,Sent To Construction,Medina Fiber,"",1761,"",HOA,"0.0","53.0","","144.0","3018.0",MEA02,"6/18/21","","2022-05-26","","3",0.0,1.0,3018,"2022-11-30","","2022-11-30","",0,0,"2022-11-15","2022-11-30","","1.0","2022-11-30",0,"2022-11-29","1761.0",YES,1,Not Submitted,,,LIT,MC31.1,F3,1.0,MEA Ring,MEA02-3,26,26,53
136,On Hold,3424.0,"8/20/21","289.0",0,Sent To Construction,Medina Fiber,YES,2125,"",MDU,"0.0","289.0","","288.0","3537.0",MEA02,"6/18/21","","2022-06-08","","3",0.0,1.0,3537,"2022-11-30","","2022-11-30","",0,0,"2022-11-15","2022-11-30","","1.0","2022-11-30",0,"2022-11-29","2125.0",YES,1,Permits Approved,"2022-02-14","2022-01-28",LIT,MC30,F3,1.0,MEA Ring,MEA02-3,144,144,289
137,Complete,1597.0,"8/20/21","141.0",0,Sent To Construction,Medina Fiber,"",6611,"","MDU, HOA","0.0","141.0","","288.0","4842.0",MEA02,"6/18/21","","2022-06-17","","3",0.0,1.0,4842,"2022-11-30","","2022-11-30","",0,0,"2022-11-15","2022-11-30","","1.0","2022-11-30",0,"2022-11-29","6611.0",YES,2,Not Submitted,,,LIT,MC29,F3,1.0,MEA Ring,MEA02-3,70,70,141
138,Complete,2890.0,"8/20/21","108.0",0,Sent To Construction,Medina Fiber,YES,9127,"","","0.0","108.0","2021-07-12","144.0","5317.0",MEA02,"6/18/21","2021-07-27","2021-09-10","","3",0.0,1.0,5317,"","","","2022-11-15",9267,0,"2022-12-01","","","0.3747541876342514","",0,"2022-12-15",-140.0,YES,1,Permits Approved,"2022-10-31","2022-07-29",Active Construction,MC38,F3,0.3747541876342514,MEA Ring,MEA02-3,20,20,108
139,Complete,2956.0,"8/20/21","132.0",0,Sent To Construction,Medina Fiber,YES,12706,"","","0.0","132.0","2021-08-23","288.0","7325.0",MEA02,"6/18/21","2021-08-25","2022-06-08","","3",0.0,1.0,7325,"","","","2022-11-30",12390,0,"2022-12-08","","","0.3064311731892089","",0,"2022-12-22","316.0",YES,1,Permits Approved,"2022-10-31","2022-10-20",Active Construction,MC40,F3,0.3064311731892089,MEA Ring,MEA02-3,20,20,132
140,Ready For QC,2615.0,"8/20/21","294.0",0,Sent To Construction,Medina Fiber,"",4670,"",MDU,"0.0","294.0","","432.0","4004.0",MEA02,"6/18/21","","2022-06-09","","3",0.0,1.0,4004,"2022-11-30","","2022-11-30","",0,0,"2022-12-08","2022-11-30","","1.0","2022-11-30",0,"2022-12-22","4670.0",YES,0,Unknown,,,LIT,MC39.1,F3,1.0,MEA Ring,MEA02-3,147,147,294
566,"",0.0,"","",0,"",Medina Fiber,"",0,"","","","96.0","","","",MWB01,"","","","","13",0.0,0.0,0,"","","","",0,0,"","","","","",0,"","0.0",NO,0,No Permits,,,Planning,GR09B,F3,0.0,MWB Ring,MWB01-1,0,0,96
141,On Hold,5474.0,"8/20/21","99.0",0,Sent To Construction,Medina Fiber,"",10961,"",MDU,"70.0","169.0","","288.0","6755.0",MEA02,"6/18/21","","2022-06-13","","3",0.0,1.0,6755,"2022-11-30","","2022-11-30","",0,0,"2022-12-08","2022-11-30","","1.0","2022-11-30",0,"2022-12-22","10961.0",YES,2,Permits Submitted,,"2022-07-15",LIT,MC23,F3,1.0,MEA Ring,MEA02-3,84,84,169
142,On Hold,2295.0,"8/20/21","0.0",0,Sent To Construction,Medina Fiber,YES,6533,"",MDU,"107.0","107.0","","432.0","6767.0",MEA02,"6/18/21","","2022-06-22","","3",0.0,1.0,6767,"","","","",0,0,"2022-12-15","","","","",0,"2022-12-29","6533.0",YES,1,Permits Approved,"2022-11-16","2022-10-20",Detailed Design,MC33,F3,0.025,MEA Ring,MEA02-3,1,1,107
143,"",0.0,"","12.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","12.0","","","","","","","","","3",0.0,0.0,0,"","","","",0,0,"2022-12-15","","","","",0,"2022-12-29","0.0",NO,0,No Permits,,,Planning,MC33.1,F3,0.0,MEA Ring,MEA02-3,0,0,12
144,"",0.0,"","40.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","40.0","","","","","","","","","3",0.0,0.0,0,"","","","",0,0,"2022-12-15","","","","",0,"2022-12-29","0.0",NO,0,No Permits,,,Planning,MC33.2,F3,0.0,MEA Ring,MEA02-3,0,0,40
145,"",0.0,"","82.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","82.0","","","","","","","","","3",0.0,0.0,0,"","","","",0,0,"2022-12-15","","","","",0,"2022-12-29","0.0",NO,0,No Permits,,,Planning,MC33.3,F3,0.0,MEA Ring,MEA02-3,0,0,82
146,"",0.0,"","12.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","12.0","","","","","","","","","3",0.0,0.0,0,"","","","",0,0,"2022-12-15","","","","",0,"2022-12-29","0.0",NO,0,No Permits,,,Planning,MC33.4,F3,0.0,MEA Ring,MEA02-3,0,0,12
147,"",26329.0,"","0.0",0,Sent To Construction,Medina Fiber,"",7317,"","","0.0","0.0","","","","","","","2022-07-07","","3",0.0,0.0,0,"","","","",0,0,"2023-02-03","","","","",0,"2023-02-17","7317.0",NO,22,Not Submitted,,"2022-03-01",Permitting,MEC Ring,F1,0.075,MEC Ring,"",20,120,1760
148,"",284.0,"","0.0",0,Sent To Construction,Medina Fiber,"",0,"","","0.0","0.0","","","",MEC07,"","","2022-07-07","","3",0.0,0.0,0,"","","","",0,0,"2023-02-14","","","","",0,"2023-02-28","",NO,7,Not Submitted,,"",Permitting,MEC07-1,F2,0.075,MEC Ring,MEC07-1,3,7,105
149,Complete,8618.0,"8/20/21","42.0",0,Sent To Construction,Medina Fiber,"",18674,"","","63.0","105.0","","288.0","22719.0",MEC07,"6/18/21","","2022-09-28","","3",0.0,1.0,22719,"","","","",0,0,"2023-03-03","","","","",0,"2023-03-17","18674.0",NO,7,Not Submitted,,,Permitting,MW04,F3,0.075,MEC Ring,MEC07-1,4,4,105
150,"",23739.0,"","0.0",0,Sent To Construction,Medina Fiber,"",25017,"","","0.0","0.0","","","",MEC07,"","","2022-07-20","","3",0.0,0.0,0,"","","","",0,0,"2023-04-14","","","","",0,"2023-04-28","25017.0",NO,8,Not Submitted,,"2022-02-23",Permitting,MEC07-2,F2,0.075,MEC Ring,MEC07-2,29,58,1088
151,Complete,3421.0,"8/20/21","142.0",0,Sent To Construction,Medina Fiber,"",9690,"","","3.0","145.0","2021-08-23","288.0","8946.0",MEC07,"6/18/21","2021-09-29","2022-07-21","","3",0.0,1.0,8946,"","","","",0,0,"2023-05-12","","","","",0,"2023-05-26","9690.0",NO,1,Not Submitted,,,Permitting,MW01,F3,0.075,MEC Ring,MEC07-2,5,5,145
152,Complete,0.0,"8/20/21","156.0",0,"",Medina Fiber,"",0,"",MDU,"0.0","156.0","2022-07-19","288.0","",MEC07,"6/18/21","2022-07-21","","","3",0.0,0.0,0,"","","","",0,0,"2023-05-12","","","","",0,"2023-05-26","0.0",NO,2,Not Submitted,,,Construction Package,MW01.1,F3,0.05,MEC Ring,MEC07-2,4,4,156
153,Complete,3931.0,"8/20/21","171.0",0,Sent To Construction,Medina Fiber,"",14425,"","","10.0","181.0","2021-08-23","288.0","11364.0",MEC07,"6/18/21","2021-08-26","2022-07-25","","3",0.0,1.0,11364,"","","","",0,0,"2023-06-02","","","","",0,"2023-06-16","14425.0",NO,1,Not Submitted,,,Permitting,MW02,F3,0.075,MEC Ring,MEC07-2,7,7,181
154,Complete,364.0,"8/20/21","78.0",0,In QC,Medina Fiber,YES,2072,"",MDU,"0.0","78.0","","144.0","",MEC07,"6/18/21","2022-07-19","","","3",0.0,0.0,0,"","","","",0,0,"2023-06-02","","","","",0,"2023-06-16","2072.0",NO,1,Permits Approved,"2022-03-02","2022-02-23",Permits Approved Ready For Construction,MW02.1,F3,0.1,MEC Ring,MEC07-2,4,4,78
155,Complete,611.0,"8/20/21","74.0",0,"",Medina Fiber,"",1891,"",MDU,"0.0","74.0","","144.0","",MEC07,"6/18/21","","","","3",0.0,0.0,0,"","","","",0,0,"2023-06-02","","","","",0,"2023-06-16","1891.0",NO,1,Not Submitted,,,Construction Package,MW03.2,F3,0.05,MEC Ring,MEC07-2,2,2,74
156,"",0.0,"8/20/21","182.0",0,"",Medina Fiber,"",2363,"",MDU,"0.0","182.0","","288.0","",MEC07,"6/18/21","","","","3",0.0,0.0,0,"","","","",0,0,"2023-06-02","","","","",0,"2023-06-16","2363.0",NO,0,No Permits,,,Planning,MW03.3,F3,0.0,MEC Ring,MEC07-2,0,0,182
157,Complete,4479.0,"8/20/21","20.0",0,Sent To Construction,Medina Fiber,"",11844,"","","72.0","92.0","2021-08-30","144.0","16478.0",MEC07,"6/18/21","2021-09-10","2022-07-26","","3",0.0,1.0,16478,"","","","",0,0,"2023-06-02","","","","",0,"2023-06-16","11844.0",NO,1,Not Submitted,,,Permitting,MW03,F3,0.075,MEC Ring,MEC07-2,3,3,92
158,Complete,0.0,"8/20/21","180.0",0,Ready For QC,Medina Fiber,"",0,"",MDU,"0.0","180.0","","288.0","",MEC07,"6/18/21","2022-08-05","","","3",0.0,0.0,0,"","","","",0,0,"2023-06-02","","","","",0,"2023-06-16","0.0",NO,1,Not Submitted,,,Construction Package,MW03.1,F3,0.05,MEC Ring,MEC07-2,4,4,180
159,"",15367.0,"","0.0",0,Sent To Construction,Medina Fiber,"",14032,"","","0.0","0.0","","","",MEC07,"","","2022-07-25","","3",0.0,0.0,0,"","","","",0,0,"2023-05-31","","","","",0,"2023-06-14","14032.0",NO,7,Not Submitted,,"2022-03-01",Permitting,MEC07-3,F2,0.075,MEC Ring,MEC07-3,15,35,567
160,Complete,8223.0,"8/20/21","21.0",0,Sent To Construction,Medina Fiber,YES,15346,"","","64.0","85.0","2021-08-17","432.0","13010.0",MEC07,"6/18/21","2021-08-19","2021-10-06","","3",0.0,1.0,13010,"","","","",0,0,"2023-07-07","","","","",0,"2023-07-21","15346.0",NO,1,Permits Approved,"2022-06-01","2021-10-06",Permits Approved Ready For Construction,LF04,F3,0.1,MEC Ring,MEC07-3,4,4,85
161,Complete,1546.0,"8/20/21","160.0",0,Ready For QC,Medina Fiber,"",10935,"",Mobile Home Park,"0.0","160.0","","288.0","",MEC07,"6/18/21","","","","3",0.0,0.0,0,"","","","",0,0,"2023-07-07","","","","",0,"2023-07-21","10935.0",NO,1,Not Submitted,,,Construction Package,LF04.1,F3,0.05,MEC Ring,MEC07-3,4,4,160
162,Complete,3376.0,"8/20/21","193.0",0,Sent to Construction,Medina Fiber,"",13067,"",HOA,"0.0","193.0","2021-07-13","288.0","7416.0",MEC07,"6/18/21","2021-07-15","2021-08-17","","3",0.0,1.0,7416,"","","","",0,0,"2023-08-02","","","","",0,"2023-08-16","13067.0",NO,2,Not Submitted,,,Permitting,MW06,F3,0.075,MEC Ring,MEC07-3,7,7,193
163,Complete,190.0,"8/20/21","20.0",0,Ready For QC,Medina Fiber,YES,1335,"",MDU,"8.0","28.0","","144.0","",MEC07,"6/18/21","","","","3",0.0,0.0,0,"","","","",0,0,"2023-08-02","","","","",0,"2023-08-16","1335.0",NO,1,Permits Approved,"2022-03-02","2022-03-01",Permits Approved Ready For Construction,MW05.1,F3,0.1,MEC Ring,MEC07-3,1,1,28
164,Complete,2097.0,"8/20/21","99.0",0,Sent To Construction,Medina Fiber,"",8811,"","","2.0","101.0","2021-08-30","144.0","7957.0",MEC07,"6/18/21","2021-10-12","2021-10-26","","3",0.0,1.0,7957,"","","","",0,0,"2023-08-02","","","","",0,"2023-08-16","8811.0",NO,2,Not Submitted,,,Permitting,MW05,F3,0.075,MEC Ring,MEC07-3,4,4,101
165,"",31057.0,"","0.0",124,Sent To Construction,Medina Fiber,"",31839,"","","0.0","0.0","","","","","","","2022-10-19","","4",0.0,0.0,0,"","","","",0,124,"2023-07-07","","","","",0,"2023-07-21","31839.0",NO,28,Not Submitted,,"2021-10-28",Permitting,MEE Ring,F1,0.075,MEE Ring,"",36,219,3218
166,Complete,495.0,"","0.0",0,Sent To Construction,Medina Fiber,"",56,"","","0.0","0.0","","","",MEE11,"","","2022-10-24","","4",0.0,0.0,0,"","","","",0,0,"2023-12-08","","","","",0,"2023-12-22","56.0",NO,1,Not Submitted,,"",Permitting,MEE11-1,F2,0.075,MEE Ring,MEE11-1,1,3,50
167,Complete,1801.0,"","50.0",0,Sent To Construction,Medina Fiber,"",669,"",MDU,"0.0","50.0","2022-04-26","","",MEE11,"","2022-05-09","2022-12-05","","4",0.0,0.0,0,"","","","",0,0,"2023-12-08","","","","",0,"2023-12-22","669.0",NO,1,Not Submitted,,,Permitting,CM05.1,F3,0.075,MEE Ring,MEE11-1,2,2,50
168,Complete,17998.0,"","0.0",0,Sent To Construction,Medina Fiber,"",15175,"","","0.0","0.0","","","",MEE11,"","","2022-10-27","","4",0.0,0.0,0,"","","","",0,0,"2023-08-17","","","","",0,"2023-08-31","15175.0",NO,10,Not Submitted,,"2021-09-21",Permitting,MEE11-2,F2,0.075,MEE Ring,MEE11-2,18,47,683
169,Complete,13360.0,"","92.0",0,Sent To Construction,Medina Fiber,"",12773,"","","2.0","94.0","2022-04-18","","16653.0",MEE11,"","2022-05-18","2022-12-07","","4",0.0,1.0,16653,"","","","",0,0,"2023-09-05","","","","",0,"2023-09-19","12773.0",NO,2,Not Submitted,,,Permitting,CM05,F3,0.075,MEE Ring,MEE11-2,4,4,94
170,Complete,6765.0,"","73.0",0,Sent To Construction,Medina Fiber,"",7727,"","","14.0","87.0","2022-04-20","","11537.0",MEE11,"","2022-05-09","2022-12-08","","4",0.0,1.0,11537,"","","","",0,0,"2023-09-05","","","","",0,"2023-09-19","7727.0",NO,2,Not Submitted,,,Permitting,WM06,F3,0.075,MEE Ring,MEE11-2,3,3,87
171,Complete,6707.0,"","155.0",0,Sent To Construction,Medina Fiber,"",2733,"",MDU,"0.0","155.0","2022-04-18","","2927.0",MEE11,"","2022-04-19","2022-12-08","","4",0.0,1.0,2927,"","","","",0,0,"2023-08-17","","","","",0,"2023-08-31","2733.0",NO,1,Not Submitted,,,Permitting,WM07.1,F3,0.075,MEE Ring,MEE11-2,6,6,155
172,Complete,3934.0,"","61.0",0,Sent To Construction,Medina Fiber,YES,3931,"","","0.0","61.0","2022-04-18","","4529.0",MEE11,"","2022-04-19","2022-11-28","","4",0.0,1.0,4529,"","","","",0,0,"2023-09-15","","","","",0,"2023-09-29","3931.0",NO,1,Permits Approved,"2021-10-25","2021-09-21",Permits Approved Ready For Construction,MS24,F3,0.1,MEE Ring,MEE11-2,3,3,61
173,Complete,0.0,"","134.0",0,In QC,Medina Fiber,"",3433,"",MDU,"0.0","134.0","2022-04-18","","",MEE11,"","2022-05-03","","","4",0.0,0.0,0,"","","","",0,0,"2023-09-15","","","","",0,"2023-09-29","3433.0",NO,2,Not Submitted,,,Construction Package,MS24.1,F3,0.05,MEE Ring,MEE11-2,3,3,134
174,Complete,3163.0,"","144.0",0,Sent To Construction,Medina Fiber,"",2602,"",MDU,"8.0","152.0","2022-04-18","","1500.0",MEE11,"","2022-05-03","2022-12-01","","4",0.0,1.0,1500,"","","","",837,0,"2023-08-17","","","0.13607926087142397","",0,"2023-08-31","1765.0",NO,2,Not Submitted,,,Active Construction,MS25,F3,0.13607926087142397,MEE Ring,MEE11-2,10,10,152
175,Complete,9251.0,"","0.0",0,Sent To Construction,Medina Fiber,"",8232,"","","0.0","0.0","","","",MEE11,"","","2022-10-31","","4",0.0,0.0,0,"","","","",0,0,"2023-08-01","","","","",0,"2023-08-15","8232.0",NO,2,Permits Approved,,"2021-08-24",Permitting,MEE11-3,F2,0.075,MEE Ring,MEE11-3,11,32,426
176,Complete,16430.0,"","225.0",0,Sent To Construction,Medina Fiber,YES,17761,"",HOA,"1.0","226.0","2022-04-18","","14046.0",MEE11,"","2022-05-05","2022-12-01","","4",0.0,1.0,14046,"","","","",0,0,"2023-08-11","","","","",0,"2023-08-25","15111.0",NO,1,Permits Approved,"2021-09-22","2021-08-24",Permits Approved Ready For Construction,WM05,F3,0.1,MEE Ring,MEE11-3,11,11,226
177,Complete,1145.0,"","199.0",0,Sent To Construction,Medina Fiber,YES,15111,"","","1.0","200.0","2022-04-18","","10871.0",MEE11,"","2022-05-31","2022-11-29","","4",0.0,1.0,10871,"","","","",0,0,"2023-08-11","","","","",0,"2023-08-25","17761.0",NO,1,Permits Approved,"2021-09-22","2021-08-24",Permits Approved Ready For Construction,WM04,F3,0.1,MEE Ring,MEE11-3,10,10,200
178,Complete,12676.0,"","0.0",317,Sent To Construction,Medina Fiber,"",8751,"","","0.0","0.0","","","",MEE12,"","","2022-11-02","","4",0.0,0.0,0,"","","","",0,317,"2023-10-20","","","","",0,"2023-11-03","8751.0",NO,3,Not Submitted,,"2021-08-16",Permitting,MEE12-1,F2,0.075,MEE Ring,MEE12-1,12,25,450
179,Complete,0.0,"","160.0",0,Ready For QC,Medina Fiber,"",13338,"","","0.0","160.0","2022-04-27","","16006.0",MEE12,"","2022-05-23","","","4",0.0,1.0,16006,"","","","",0,0,"2023-10-25","","","","",0,"2023-11-08","13338.0",NO,2,Not Submitted,,,Construction Package,NM05,F3,0.05,MEE Ring,MEE12-1,4,4,160
180,Complete,8668.0,"","70.0",0,Sent To Construction,Medina Fiber,YES,11371,"","","0.0","70.0","2022-05-06","","9787.0",MEE12,"","2022-05-25","2022-12-01","","4",0.0,1.0,9787,"","","","",0,0,"2023-11-10","","","","",0,"2023-11-24","11371.0",NO,1,Permits Approved,"2021-09-01","2021-08-16",Permits Approved Ready For Construction,NM03,F3,0.1,MEE Ring,MEE12-1,4,4,70
181,Complete,0.0,"","125.0",0,Ready For QC,Medina Fiber,"",11734,"",HOA,"0.0","125.0","2022-05-09","","12423.0",MEE12,"","2022-05-24","","","4",0.0,1.0,12423,"","","","",0,0,"2023-11-16","","","","",0,"2023-11-30","11734.0",NO,0,No Permits,,,Construction Package,NM01B,F3,0.05,MEE Ring,MEE12-1,3,3,125
182,Complete,0.0,"","95.0",0,Ready For QC,Medina Fiber,"",7451,"","","0.0","95.0","2022-05-10","","",MEE12,"","2022-05-23","","","4",0.0,0.0,0,"","","","",0,0,"2023-11-16","","","","",0,"2023-11-30","7451.0",NO,0,No Permits,,,Construction Package,NM01A,F3,0.05,MEE Ring,MEE12-1,2,2,95
183,Complete,18152.0,"","0.0",206,Sent To Construction,Medina Fiber,"",16930,"","","0.0","0.0","","","",MEE12,"","","2022-11-04","","4",0.0,0.0,0,"","","","",0,206,"2023-11-23","","","","",0,"2023-12-07","16930.0",NO,10,Not Submitted,,"2021-10-28",Permitting,MEE12-2,F2,0.075,MEE Ring,MEE12-2,24,42,906
184,Complete,0.0,"","156.0",0,Ready For QC,Medina Fiber,"",15866,"",Private Street,"0.0","156.0","2022-05-02","","15591.0",MEE12,"","2022-05-31","","","4",0.0,1.0,15591,"","","","",0,0,"2023-12-08","","","","",0,"2023-12-22","15866.0",NO,3,Not Submitted,,,Construction Package,NM11,F3,0.05,MEE Ring,MEE12-2,4,4,156
185,Complete,0.0,"","56.0",0,Ready For QC,Medina Fiber,"",2991,"",HOA,"0.0","56.0","2022-05-02","","",MEE12,"","2022-05-31","","","4",0.0,0.0,0,"","","","",0,0,"2023-11-23","","","","",0,"2023-12-07","2991.0",NO,2,Not Submitted,,,Construction Package,NM12.1,F3,0.05,MEE Ring,MEE12-2,1,1,56
